Date,SP500,Tesla
12/2/2021,0.014194423,-0.009497717
12/3/2021,-0.008448581,-0.064198783
12/6/2021,0.011730929,-0.005872095
12/7/2021,0.020707063,0.042358351
12/8/2021,0.003085294,0.016363204
12/9/2021,-0.00718113,-0.060956444
12/10/2021,0.009549111,0.013179916
12/13/2021,-0.009136209,-0.049772376
12/14/2021,-0.007470598,-0.008174584
12/15/2021,0.016348409,0.018236638
12/16/2021,-0.008743378,-0.050277154
12/17/2021,-0.010287726,0.006095456
12/20/2021,-0.011388033,-0.034989331
12/21/2021,0.017777943,0.042880636
12/22/2021,0.01018018,0.074946992
12/23/2021,0.006223704,0.05761892
12/27/2021,0.013838956,0.02524836
12/28/2021,-0.001010187,-0.005000274
12/29/2021,0.001401903,-0.002094683
12/30/2021,-0.002989739,-0.01459229
12/31/2021,-0.002626221,-0.012668872
